twin,pair,id,region,kit,genetic share
1A,1,A,NW Europe,Ancestry,0.9
1A,1,A,NW Europe,23andMe,0.676
1A,1,A,NW Europe,MyHeritage,0.647
1A,1,A,SE Europe,Ancestry,0.1
1A,1,A,SE Europe,23andMe,0.32
1A,1,A,SE Europe,MyHeritage,0.333
1B,1,B,NW Europe,Ancestry,0.9
1B,1,B,NW Europe,23andMe,0.691
1B,1,B,NW Europe,MyHeritage,0.687
1B,1,B,SE Europe,Ancestry,0.1
1B,1,B,SE Europe,23andMe,0.305
1B,1,B,SE Europe,MyHeritage,0.239
2A,2,A,West Africa,Ancestry,0.65
2A,2,A,West Africa,23andMe,0.762
2A,2,A,West Africa,MyHeritage,0.696
2A,2,A,Central Africa,Ancestry,0.22
2A,2,A,Central Africa,23andMe,0.076
2A,2,A,Central Africa,MyHeritage,0.12
2A,2,A,NW Europe,Ancestry,0.12
2A,2,A,NW Europe,23andMe,0.139
2A,2,A,NW Europe,MyHeritage,0.104
2A,2,A,SE Europe,Ancestry,0.01
2A,2,A,SE Europe,23andMe,0.006
2A,2,A,SE Europe,MyHeritage,0
2B,2,B,West Africa,Ancestry,0.64
2B,2,B,West Africa,23andMe,0.76
2B,2,B,West Africa,MyHeritage,0.688
2B,2,B,Central Africa,Ancestry,0.23
2B,2,B,Central Africa,23andMe,0.078
2B,2,B,Central Africa,MyHeritage,0.112
2B,2,B,NW Europe,Ancestry,0.12
2B,2,B,NW Europe,23andMe,0.131
2B,2,B,NW Europe,MyHeritage,0.106
2B,2,B,SE Europe,Ancestry,0.01
2B,2,B,SE Europe,23andMe,0.006
2B,2,B,SE Europe,MyHeritage,0
3A,3,A,NW Europe,Ancestry,0.99
3A,3,A,NW Europe,23andMe,0.987
3A,3,A,NW Europe,MyHeritage,0.992
3A,3,A,West Africa,Ancestry,0.01
3A,3,A,West Africa,23andMe,0.07
3A,3,A,West Africa,MyHeritage,0
3B,3,B,NW Europe,Ancestry,0.99
3B,3,B,NW Europe,23andMe,0.987
3B,3,B,NW Europe,MyHeritage,0.981
3B,3,B,West Africa,Ancestry,0.01
3B,3,B,West Africa,23andMe,0.01
3B,3,B,West Africa,MyHeritage,0
4A,4,A,West Africa,Ancestry,0.6
4A,4,A,West Africa,23andMe,0.772
4A,4,A,West Africa,MyHeritage,0.692
4A,4,A,Central Africa,Ancestry,0.27
4A,4,A,Central Africa,23andMe,0.076
4A,4,A,Central Africa,MyHeritage,0.076
4A,4,A,NW Europe,Ancestry,0.12
4A,4,A,NW Europe,23andMe,0.125
4A,4,A,NW Europe,MyHeritage,0.092
4B,4,B,West Africa,Ancestry,0.6
4B,4,B,West Africa,23andMe,0.768
4B,4,B,West Africa,MyHeritage,0.707
4B,4,B,Central Africa,Ancestry,0.27
4B,4,B,Central Africa,23andMe,0.08
4B,4,B,Central Africa,MyHeritage,0.068
4B,4,B,NW Europe,Ancestry,0.12
4B,4,B,NW Europe,23andMe,0.115
4B,4,B,NW Europe,MyHeritage,0.088
4B,4,B,East Asia,Ancestry,0.01
4B,4,B,East Asia,23andMe,0.017
4B,4,B,East Asia,MyHeritage,0
4B,4,B,SE Europe,Ancestry,0
4B,4,B,SE Europe,23andMe,0.009
4B,4,B,SE Europe,MyHeritage,0.094
5A,5,A,East Asia,Ancestry,1
5A,5,A,East Asia,23andMe,1
5A,5,A,East Asia,MyHeritage,0.978
5B,5,B,East Asia,Ancestry,1
5B,5,B,East Asia,23andMe,1
5B,5,B,East Asia,MyHeritage,0.973
6A,6,A,West Africa,Ancestry,0.62
6A,6,A,West Africa,23andMe,0.636
6A,6,A,West Africa,MyHeritage,0.61
6A,6,A,NW Europe,Ancestry,0.23
6A,6,A,NW Europe,23andMe,0.245
6A,6,A,NW Europe,MyHeritage,0.251
6A,6,A,Central Africa,Ancestry,0.12
6A,6,A,Central Africa,23andMe,0.1
6A,6,A,Central Africa,MyHeritage,0.11
6A,6,A,East Asia,Ancestry,0.01
6A,6,A,East Asia,23andMe,0.006
6A,6,A,East Asia,MyHeritage,0
6B,6,B,West Africa,Ancestry,0.62
6B,6,B,West Africa,23andMe,0.634
6B,6,B,West Africa,MyHeritage,0.624
6B,6,B,NW Europe,Ancestry,0.23
6B,6,B,NW Europe,23andMe,0.247
6B,6,B,NW Europe,MyHeritage,0.25
6B,6,B,Central Africa,Ancestry,0.13
6B,6,B,Central Africa,23andMe,0.1
6B,6,B,Central Africa,MyHeritage,0.089
6B,6,B,East Asia,Ancestry,0.01
6B,6,B,East Asia,23andMe,0.006
6B,6,B,East Asia,MyHeritage,0
